/fraternal/divan.php	/fraternal/divan.php	http://www.google.co.id/imgres?imgurl=http://www.aladdinshrine.org/fraternal/images/GarolRogers.jpg&amp;imgrefurl=http://www.aladdinshrine.org/fraternal/divan.php&amp;usg=__48QtG9GclrCj7lWfAa6wfKbGnRg=&amp;h=504&amp;w=360&amp;sz=139&amp;hl=id&amp;start=0&amp;zoom=1&amp;tbnid=_gVeUB9fyM12xM:&amp;tbnh=154&amp;tbnw=114&amp;ei=zewfTv-GLInYrQfolqWBAg&amp;prev=/search%3Fq%3Dgarol%26hl%3Did%26client%3Dfirefox-a%26rls%3Dorg.mozilla:id:official%26biw%3D1366%26bih%3D643%26gbv%3D2%26tbm%3Disch&amp;itbs=1&amp;iact=hc&amp;vpx=948&amp;vpy=54&amp;dur=430&amp;hovh=266&amp;hovw=190&amp;tx=116&amp;ty=160&amp;page=1&amp;ndsp=19&amp;ved=1t:429,r:4,s:0&amp;biw=1366&amp;bih=643	Mozilla/5.0 (Windows NT 6.1) AppleWebKit/534.29 (KHTML, like Gecko) Chrome/12.0.733.0 Safari/534.29	17.static.118-96-180.astinet.telkom.net.id	1310715116	-	-	GET	-	id
/fraternal/bylaws.php	/fraternal/bylaws.php	http://www.aladdinshrine.org/fraternal/history.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPDTDF; .NET4.0C; BRI/1; BRI/2; AskTB5.6)	d47-69-158-51.col.wideopenwest.com	1310716014	-	-	GET	-	en-US
/fraternal/divan.php	/fraternal/divan.php	http://www.aladdinshrine.org/fraternal/bylaws.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; HPDTDF; .NET4.0C; BRI/1; BRI/2; AskTB5.6)	d47-69-158-51.col.wideopenwest.com	1310716383	-	-	GET	-	en-US
/fraternal/history.php	/fraternal/history.php	#	Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)	b3091245.crawl.yahoo.net	1310721643	-	-	GET	-	en-us,en;q=0.5
/fraternal/ohio.php	/fraternal/ohio.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.43	1310723824	-	-	GET	-	tr-TR
/fraternal/home.php	/fraternal/home.php	#	Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)	b3091184.crawl.yahoo.net	1310724286	-	-	GET	-	en-us,en;q=0.5
/fraternal/home.php	/fraternal/home.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.96	1310728581	-	-	GET	-	ja-JP,ja
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	adsl-99-159-254-212.dsl.wotnoh.sbcglobal.net	1310732471	-	-	GET	-	en-us
/fraternal/contact.php	/fraternal/contact.php	http://www.aladdinshrine.com/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	adsl-99-159-254-212.dsl.wotnoh.sbcglobal.net	1310732478	-	-	GET	-	en-us
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	adsl-99-159-254-212.dsl.wotnoh.sbcglobal.net	1310734007	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	http://www.aladdinshrine.com/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	adsl-99-159-254-212.dsl.wotnoh.sbcglobal.net	1310734025	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	http://www.aladdinshrine.com/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	adsl-99-159-254-212.dsl.wotnoh.sbcglobal.net	1310734037	-	-	GET	-	en-us
/fraternal/lamp.php	/fraternal/lamp.php	http://www.aladdinshrine.com/fraternal/calendar.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	adsl-99-159-254-212.dsl.wotnoh.sbcglobal.net	1310734066	-	-	GET	-	en-us
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1	staff.dublin.k12.oh.us	1310735382	-	-	GET	-	en-us
/fraternal/lamp.php	/fraternal/lamp.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1	staff.dublin.k12.oh.us	1310735393	-	-	GET	-	en-us
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1	staff.dublin.k12.oh.us	1310735429	-	-	GET	-	en-us
/fraternal/lamp.php	/fraternal/lamp.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_7; en-us) AppleWebKit/533.21.1 (KHTML, like Gecko) Version/5.0.5 Safari/533.21.1	staff.dublin.k12.oh.us	1310735431	-	-	GET	-	en-us
/fraternal/home.php	/fraternal/home.php	#	msnbot/2.0b (+http://search.msn.com/msnbot.htm)._	msnbot-157-55-116-28.search.msn.com	1310735443	-	-	GET	-	N/D
/fraternal/ashac.php	/fraternal/ashac.php	#	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko; Google Web Preview) Chrome/11.0.696 Safari/534.24	59.93.13.60	1310743104	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727)	216.68.49.16	1310743570	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 2.0.50727)	216.68.49.16	1310743644	-	-	GET	-	en-us
/fraternal/dixieland.php	/fraternal/dixieland.php	#	Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)	119.63.196.46	1310745944	-	-	GET	-	tr-TR
/fraternal/contact.php	/fraternal/contact.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310746434	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	#	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	crawl-66-249-71-166.googlebot.com	1310749209	-	-	GET	-	N/D
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0	cpe-24-160-198-57.insight.res.rr.com	1310749957	-	-	GET	-	en-us,en;q=0.5
/fraternal/history.php	/fraternal/history.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0	cpe-24-160-198-57.insight.res.rr.com	1310749972	-	-	GET	-	en-us,en;q=0.5
/fraternal/membership.php	/fraternal/membership.php	http://www.aladdinshrine.org/fraternal/history.php	Mozilla/5.0 (Windows NT 5.1; rv:5.0) Gecko/20100101 Firefox/5.0	cpe-24-160-198-57.insight.res.rr.com	1310750049	-	-	GET	-	en-us,en;q=0.5
/fraternal/home.php	/fraternal/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)	dbes1bcx04.chase.com	1310752103	-	-	GET	-	en-us
/fraternal/groups.php	/fraternal/groups.php	http://www.aladdinshrine.org/fraternal/home.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)	dbes1bcx04.chase.com	1310752123	-	-	GET	-	en-us
/fraternal/calendar.php	/fraternal/calendar.php	http://www.aladdinshrine.org/fraternal/groups.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)	dbes1bcx04.chase.com	1310752130	-	-	GET	-	en-us
/fraternal/divan.php	/fraternal/divan.php	http://www.aladdinshrine.org/fraternal/calendar.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)	dbes1bcx04.chase.com	1310752189	-	-	GET	-	en-us
/fraternal/units.php	/fraternal/units.php	http://www.aladdinshrine.org/fraternal/groups.php	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.0.3705; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.04506.30; MS-RTC LM 8; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)	dbes1bcx04.chase.com	1310752252	-	-	GET	-	en-us
