/home.php	/home.php	http://www.google.com/url?sa=t&amp;rct=j&amp;q=aladdin%20shrine%20center%20events&amp;source=web&amp;cd=2&amp;ved=0CDkQjBAwAQ&amp;url=http%3A%2F%2Faladdinshrine.org%2Fhome.php&amp;ei=BdcqT4zoIfTfsQKSwN2TDg&amp;usg=AFQjCNHQdsm2QjjjyxZo12LglcYZGhOGuw	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	rrcs-204-210-166-108.central.biz.rr.com	1328207631	-	-	GET	-	en-us
/home.php	/home.php	#	facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)	69.171.228.246	1328207652	-	-	GET	-	N/D
/aladdinballroom.php	/aladdinballroom.php	http://aladdinshrine.org/home.php	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	rrcs-204-210-166-108.central.biz.rr.com	1328207695	-	-	GET	-	en-us
/AladdinCalendar.php	/AladdinCalendar.php	#	Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)	spider-199-21-99-92.yandex.com	1328208000	-	-	GET	-	en-us, en;q=0.7, *;q=0.01
/home.php	/home.php	http://www.aladdinshrine.org/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.2; InfoPath.2; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; update/205605)	156.63.54.142	1328208840	-	-	GET	-	en-us,spanish;q=0.5
/home.php	/home.php	http://www.aladdinshrine.org/	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	hs_wifi_public_2.kmcnetwork.org	1328209981	-	-	GET	-	en-us
/AladdinContact.php	/AladdinContact.php	http://www.aladdinshrine.org/home.php	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	hs_wifi_public_2.kmcnetwork.org	1328209988	-	-	GET	-	en-us
/aladdinaladdin.php	/aladdinaladdin.php	http://www.aladdinshrine.org/AladdinContact.php	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	hs_wifi_public_2.kmcnetwork.org	1328210291	-	-	GET	-	en-us
/aladdinoasis.php	/aladdinoasis.php	http://www.aladdinshrine.org/aladdinaladdin.php	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	hs_wifi_public_2.kmcnetwork.org	1328210625	-	-	GET	-	en-us
/aladdinaladdin.php	/aladdinaladdin.php	http://www.aladdinshrine.org/aladdinoasis.php	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.52.7 (KHTML, like Gecko) Version/5.1.2 Safari/534.52.7	hs_wifi_public_2.kmcnetwork.org	1328210630	-	-	GET	-	en-us
